Leaflet Link,Unuseable,Date,Constituency,Party,Leader Picture included,Leader mentioned,Party Logo,"Leaflet Style (Leaflet, Letter, Magazine, Newsletter, Newspaper, CV or Survey)",Opposition leader pictured,Opposition leader mentioned,"squeeze message",Does it include a graph?
https://electionleaflets.org/leaflets/8804,,18/03/2015,Broxtowe,Conservative,yes,yes,yes,"leaflet
",yes,yes,no,no
https://electionleaflets.org/leaflets/8805,,18/03/2015,Broxtowe,Labour,yes,no,no,leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8806,,18/03/2015,Newark,not specified,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8807,,18/03/2015,not specified,Labour,no,no,yes,"leaflet
",no,no,no,no
https://electionleaflets.org/leaflets/8808,,18/03/2015,Oxford West & Abingdon,Liberal Democrats,no,no,no,letter,no,no,yes,yes
https://electionleaflets.org/leaflets/8809,,18/03/2015,Oxford West & Abingdon,Liberal Democrats,no,no,no,newsletter,yes,yes,yes,yes
https://electionleaflets.org/leaflets/8810,,18/03/2015,North Dorset,Green,no,no,yes,newsletter,no,no,no,yes
https://electionleaflets.org/leaflets/8811,,18/03/2015,Newark,Labour,no,no,yes,leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8812,,18/03/2015,"Manchester, Withington",Liberal Democrats,no,no,yes,newletter,yes,yes,no,no
https://electionleaflets.org/leaflets/8813,,18/03/2015,"Manchester, Withington","Labour
",no,no,yes,newsletter,yes,yes,no,no
